"Date","Price","Open","High","Low","Change %"
"08/19/2024","99.271","99.271","99.271","99.271","0.00%"
"08/16/2024","99.269","99.269","99.269","99.269","0.02%"
"08/14/2024","99.250","99.250","99.250","99.250","0.11%"
"08/13/2024","99.139","99.139","99.139","99.139","-0.07%"
"08/12/2024","99.208","99.208","99.208","99.208","-0.43%"
"08/09/2024","99.636","99.636","99.636","99.636","0.04%"
"08/08/2024","99.593","99.593","99.593","99.593","-0.03%"
"08/07/2024","99.621","99.621","99.621","99.621","0.04%"
"08/06/2024","99.580","99.580","99.580","99.580","-0.08%"
"08/05/2024","99.657","99.657","99.657","99.657","0.12%"
"08/02/2024","99.536","99.536","99.536","99.536","0.04%"
"08/01/2024","99.494","99.494","99.494","99.494","0.02%"
"07/31/2024","99.474","99.474","99.474","99.474","0.02%"
"07/30/2024","99.452","99.452","99.452","99.452","-0.02%"
"07/29/2024","99.467","99.467","99.467","99.467","0.03%"
"07/26/2024","99.440","99.440","99.440","99.440","0.02%"
"07/25/2024","99.416","99.416","99.416","99.416","0.07%"
"07/24/2024","99.349","99.349","99.349","99.349","0.06%"
"07/23/2024","99.290","99.290","99.290","99.290","0.02%"
"07/22/2024","99.275","99.275","99.275","99.275","-0.03%"
"07/19/2024","99.300","99.300","99.300","99.300","-0.01%"
"07/18/2024","99.311","99.311","99.311","99.311","0.05%"
"07/16/2024","99.259","99.259","99.259","99.259","0.04%"
"07/15/2024","99.217","99.217","99.217","99.217","0.00%"
"07/12/2024","99.215","99.215","99.215","99.215","0.01%"
"07/11/2024","99.202","99.202","99.202","99.202","0.03%"
"07/10/2024","99.176","99.176","99.176","99.176","0.04%"
"07/09/2024","99.138","99.138","99.138","99.138","0.02%"
"07/08/2024","99.121","99.121","99.121","99.121","0.02%"
"07/05/2024","99.104","99.104","99.104","99.104","0.00%"
"07/04/2024","99.106","99.106","99.106","99.106","0.02%"
"07/03/2024","99.091","99.091","99.091","99.091","0.03%"
"07/02/2024","99.058","99.058","99.058","99.058","0.00%"
"07/01/2024","99.062","99.062","99.062","99.062","0.03%"
"06/28/2024","99.035","99.035","99.035","99.035","0.00%"
"06/27/2024","99.035","99.035","99.035","99.035","-0.04%"
"06/26/2024","99.073","99.073","99.073","99.073","-0.02%"
"06/25/2024","99.096","99.096","99.096","99.096","-0.04%"
"06/24/2024","99.139","99.139","99.139","99.139","-0.22%"
"06/21/2024","99.353","99.353","99.353","99.353","0.05%"
"06/20/2024","99.302","99.302","99.302","99.302","0.01%"
"06/19/2024","99.294","99.294","99.294","99.294","0.02%"
"06/18/2024","99.275","99.275","99.275","99.275","0.02%"
"06/14/2024","99.253","99.253","99.253","99.253","0.00%"
"06/13/2024","99.251","99.251","99.251","99.251","0.07%"
"06/12/2024","99.184","99.184","99.184","99.184","0.00%"
"06/11/2024","99.181","99.181","99.181","99.181","0.03%"
"06/10/2024","99.156","99.156","99.156","99.156","-0.02%"
"06/07/2024","99.171","99.171","99.171","99.171","0.05%"
"06/06/2024","99.121","99.121","99.121","99.121","0.11%"
"06/05/2024","99.017","99.017","99.017","99.017","0.08%"
"06/04/2024","98.938","98.938","98.938","98.938","-0.22%"
"06/03/2024","99.160","99.160","99.160","99.160","0.08%"
"05/31/2024","99.078","99.078","99.078","99.078","-0.15%"
"05/30/2024","99.226","99.226","99.226","99.226","0.00%"
"05/29/2024","99.228","99.228","99.228","99.228","-0.03%"
"05/28/2024","99.257","99.257","99.257","99.257","-0.06%"
"05/27/2024","99.312","99.312","99.312","99.312","0.01%"
"05/24/2024","99.305","99.305","99.305","99.305","0.05%"
"05/23/2024","99.260","99.260","99.260","99.260","-0.02%"
"05/22/2024","99.282","99.282","99.282","99.282","0.07%"
"05/21/2024","99.217","99.217","99.217","99.217","0.10%"
"05/17/2024","99.114","99.114","99.114","99.114","-0.01%"
"05/16/2024","99.127","99.127","99.127","99.127","0.03%"
"05/15/2024","99.095","99.095","99.095","99.095","0.05%"
"05/14/2024","99.045","99.045","99.045","99.045","0.01%"
"05/13/2024","99.035","99.035","99.035","99.035","0.03%"
"05/10/2024","99.007","99.007","99.007","99.007","0.01%"
"05/09/2024","98.997","98.997","98.997","98.997","0.02%"
"05/08/2024","98.978","98.978","98.978","98.978","-0.03%"
"05/07/2024","99.004","99.004","99.004","99.004","-0.02%"
"05/06/2024","99.027","99.027","99.027","99.027","0.14%"
"05/03/2024","98.893","98.893","98.893","98.893","0.03%"
"05/02/2024","98.868","98.868","98.868","98.868","0.08%"
"04/30/2024","98.788","98.788","98.788","98.788","0.01%"
"04/29/2024","98.776","98.776","98.776","98.776","0.00%"
"04/26/2024","98.777","98.777","98.777","98.777","0.02%"
"04/25/2024","98.760","98.760","98.760","98.760","-0.03%"
"04/24/2024","98.794","98.794","98.794","98.794","-0.03%"
"04/23/2024","98.820","98.820","98.820","98.820","0.04%"
"04/22/2024","98.776","98.776","98.776","98.776","0.08%"
"04/19/2024","98.700","98.700","98.700","98.700","-0.14%"
"04/18/2024","98.843","98.843","98.843","98.843","0.01%"
"04/16/2024","98.829","98.829","98.829","98.829","-0.07%"
"04/15/2024","98.896","98.896","98.896","98.896","0.00%"
"04/12/2024","98.892","98.892","98.892","98.892","-0.18%"
"04/10/2024","99.073","99.073","99.073","99.073","0.12%"
"04/08/2024","98.959","98.959","98.959","98.959","-0.11%"
"04/05/2024","99.072","99.072","99.072","99.072","-0.04%"
"04/04/2024","99.107","99.107","99.107","99.107","0.05%"
"04/03/2024","99.056","99.056","99.056","99.056","-0.02%"
"04/02/2024","99.078","99.078","99.078","99.078","-0.07%"
"04/01/2024","99.146","99.146","99.146","99.146","0.00%"
"03/28/2024","99.146","99.146","99.146","99.146","0.11%"
"03/27/2024","99.041","99.041","99.041","99.041","0.03%"
"03/26/2024","99.008","99.008","99.008","99.008","0.14%"
"03/22/2024","98.871","98.871","98.871","98.871","-0.07%"
"03/21/2024","98.944","98.944","98.944","98.944","0.09%"
"03/20/2024","98.851","98.851","98.851","98.851","-0.03%"
"03/19/2024","98.882","98.882","98.882","98.882","-0.01%"
"03/18/2024","98.895","98.895","98.895","98.895","-0.05%"
"03/15/2024","98.948","98.948","98.948","98.948","-0.03%"
"03/14/2024","98.978","98.978","98.978","98.978","-0.02%"
"03/13/2024","98.993","98.993","98.993","98.993","-0.02%"
"03/12/2024","99.016","99.016","99.016","99.016","-0.03%"
"03/11/2024","99.049","99.049","99.049","99.049","0.05%"
"03/07/2024","99.001","99.001","99.001","99.001","0.05%"
"03/06/2024","98.953","98.953","98.953","98.953","0.01%"
"03/05/2024","98.941","98.941","98.941","98.941","0.02%"
"03/04/2024","98.924","98.924","98.924","98.924","-0.03%"
"03/01/2024","98.950","98.950","98.950","98.950","-0.01%"
"02/29/2024","98.956","98.956","98.956","98.956","-0.01%"
"02/28/2024","98.967","98.967","98.967","98.967","0.01%"
"02/27/2024","98.953","98.953","98.953","98.953","0.02%"
"02/26/2024","98.938","98.938","98.938","98.938","0.02%"
"02/23/2024","98.919","98.919","98.919","98.919","-0.03%"
"02/22/2024","98.952","98.952","98.952","98.952","-0.02%"
"02/21/2024","98.975","98.975","98.975","98.975","0.05%"
"02/20/2024","98.929","98.929","98.929","98.929","0.05%"
"02/19/2024","98.877","98.877","98.877","98.877","-0.03%"
"02/16/2024","98.908","98.908","98.908","98.908","0.02%"
"02/15/2024","98.892","98.892","98.892","98.892","0.09%"
"02/14/2024","98.807","98.807","98.807","98.807","-0.08%"
"02/13/2024","98.883","98.883","98.883","98.883","-0.05%"
"02/12/2024","98.937","98.937","98.937","98.937","0.03%"
"02/09/2024","98.911","98.911","98.911","98.911","-0.13%"
"02/08/2024","99.044","99.044","99.044","99.044","-0.04%"
"02/07/2024","99.083","99.083","99.083","99.083","0.01%"
"02/06/2024","99.075","99.075","99.075","99.075","0.01%"
"02/05/2024","99.068","99.068","99.068","99.068","-0.13%"
"02/02/2024","99.193","99.193","99.193","99.193","0.10%"
"02/01/2024","99.092","99.092","99.092","99.092","0.06%"
"01/31/2024","99.030","99.030","99.030","99.030","-0.01%"
"01/30/2024","99.039","99.039","99.039","99.039","0.05%"
"01/29/2024","98.993","98.993","98.993","98.993","-0.02%"
"01/25/2024","99.011","99.011","99.011","99.011","0.04%"
"01/24/2024","98.976","98.976","98.976","98.976","0.01%"
"01/23/2024","98.971","98.971","98.971","98.971","0.02%"
"01/19/2024","98.952","98.952","98.952","98.952","0.00%"
"01/18/2024","98.953","98.953","98.953","98.953","-0.03%"
"01/17/2024","98.978","98.978","98.978","98.978","-0.07%"
"01/16/2024","99.048","99.048","99.048","99.048","0.01%"
"01/15/2024","99.043","99.043","99.043","99.043","0.10%"
"01/12/2024","98.944","98.944","98.944","98.944","0.00%"
"01/11/2024","98.945","98.945","98.945","98.945","0.00%"
"01/10/2024","98.945","98.945","98.945","98.945","0.04%"
"01/09/2024","98.906","98.906","98.906","98.906","0.02%"
"01/08/2024","98.885","98.885","98.885","98.885","0.10%"
"01/05/2024","98.787","98.787","98.787","98.787","-0.05%"
"01/04/2024","98.835","98.835","98.835","98.835","0.02%"
"01/03/2024","98.818","98.818","98.818","98.818","-0.04%"
"01/02/2024","98.856","98.856","98.856","98.856","-0.01%"
"01/01/2024","98.863","98.863","98.863","98.863","-0.01%"
"12/29/2023","98.875","98.875","98.875","98.875","0.09%"
"12/28/2023","98.791","98.791","98.791","98.791","-0.02%"
"12/27/2023","98.806","98.806","98.806","98.806","-0.04%"
"12/26/2023","98.849","98.849","98.849","98.849","-0.01%"
"12/22/2023","98.854","98.854","98.854","98.854","0.01%"
"12/21/2023","98.848","98.848","98.848","98.848","0.01%"
"12/20/2023","98.840","98.840","98.840","98.840","-0.02%"
"12/19/2023","98.864","98.864","98.864","98.864","-0.01%"
"12/18/2023","98.872","98.872","98.872","98.872","-0.03%"
"12/15/2023","98.899","98.899","98.899","98.899","0.18%"
"12/14/2023","98.719","98.719","98.719","98.719","0.29%"
"12/13/2023","98.433","98.433","98.433","98.433","0.06%"
"12/12/2023","98.373","98.373","98.373","98.373","0.01%"
"12/11/2023","98.362","98.362","98.362","98.362","-0.01%"
"12/08/2023","98.374","98.374","98.374","98.374","-0.06%"
"12/07/2023","98.434","98.434","98.434","98.434","0.01%"
"12/06/2023","98.420","98.420","98.420","98.420","0.03%"
"12/05/2023","98.386","98.386","98.386","98.386","0.04%"
"12/04/2023","98.346","98.346","98.346","98.346","0.05%"
"12/01/2023","98.294","98.294","98.294","98.294","-0.03%"
"11/30/2023","98.320","98.320","98.320","98.320","-0.06%"
"11/29/2023","98.383","98.383","98.383","98.383","-0.42%"
"11/28/2023","98.802","98.802","98.802","98.802","0.02%"
"11/24/2023","98.778","98.778","98.778","98.778","-0.08%"
"11/23/2023","98.854","98.854","98.854","98.854","-0.01%"
"11/22/2023","98.862","98.862","98.862","98.862","0.05%"
"11/21/2023","98.816","98.816","98.816","98.816","-0.06%"
"11/20/2023","98.873","98.873","98.873","98.873","-0.12%"
"11/17/2023","98.991","98.991","98.991","98.991","-0.02%"
"11/16/2023","99.012","99.012","99.012","99.012","0.02%"
"11/15/2023","98.995","98.995","98.995","98.995","0.17%"
"11/13/2023","98.826","98.826","98.826","98.826","0.06%"
"11/10/2023","98.770","98.770","98.770","98.770","-0.10%"
"11/09/2023","98.870","98.870","98.870","98.870","0.03%"
"11/08/2023","98.845","98.845","98.845","98.845","0.02%"
"11/07/2023","98.825","98.825","98.825","98.825","0.05%"
"11/06/2023","98.773","98.773","98.773","98.773","0.08%"
"11/03/2023","98.692","98.692","98.692","98.692","0.04%"
"11/02/2023","98.653","98.653","98.653","98.653","0.12%"
"11/01/2023","98.530","98.530","98.530","98.530","-0.02%"
"10/31/2023","98.552","98.552","98.552","98.552","-0.07%"
"10/30/2023","98.620","98.620","98.620","98.620","-0.02%"
"10/27/2023","98.641","98.641","98.641","98.641","0.06%"
"10/26/2023","98.581","98.581","98.581","98.581","-0.05%"
"10/25/2023","98.633","98.633","98.633","98.633","0.11%"
"10/23/2023","98.527","98.527","98.527","98.527","-0.09%"
"10/20/2023","98.612","98.612","98.612","98.612","0.06%"
"10/19/2023","98.555","98.555","98.555","98.555","-0.07%"
"10/18/2023","98.620","98.620","98.620","98.620","-0.10%"
"10/17/2023","98.715","98.715","98.715","98.715","0.06%"
"10/16/2023","98.660","98.660","98.660","98.660","-0.05%"
"10/13/2023","98.705","98.705","98.705","98.705","0.01%"
"10/12/2023","98.698","98.698","98.698","98.698","0.07%"
"10/11/2023","98.626","98.626","98.626","98.626","0.12%"
"10/10/2023","98.507","98.507","98.507","98.507","0.13%"
"10/09/2023","98.379","98.379","98.379","98.379","-0.15%"
"10/06/2023","98.523","98.523","98.523","98.523","-0.39%"
"10/05/2023","98.907","98.907","98.907","98.907","0.08%"
"10/04/2023","98.829","98.829","98.829","98.829","-0.03%"
"10/03/2023","98.858","98.858","98.858","98.858","-0.07%"
"09/29/2023","98.931","98.931","98.931","98.931","0.08%"
"09/28/2023","98.855","98.855","98.855","98.855","-0.27%"
"09/27/2023","99.120","99.120","99.120","99.120","0.00%"
"09/26/2023","99.118","99.118","99.118","99.118","-0.01%"
"09/25/2023","99.130","99.130","99.130","99.130","0.01%"
"09/22/2023","99.118","99.118","99.118","99.118","-0.12%"
"09/21/2023","99.237","99.237","99.237","99.237","0.05%"
"09/20/2023","99.183","99.183","99.183","99.183","0.01%"
"09/18/2023","99.170","99.170","99.170","99.170","0.02%"
"09/15/2023","99.148","99.148","99.148","99.148","-0.20%"
"09/14/2023","99.342","99.342","99.342","99.342","0.16%"
"09/13/2023","99.180","99.180","99.180","99.180","0.24%"
"09/12/2023","98.945","98.945","98.945","98.945","0.01%"
"09/11/2023","98.935","98.935","98.935","98.935","-0.11%"
"09/08/2023","99.041","99.041","99.041","99.041","-0.10%"
"09/07/2023","99.136","99.136","99.136","99.136","0.03%"
"09/06/2023","99.109","99.109","99.109","99.109","0.00%"
"09/04/2023","99.111","99.111","99.111","99.111","-0.07%"
"09/01/2023","99.179","99.179","99.179","99.179","-0.02%"
"08/31/2023","99.198","99.198","99.198","99.198","0.09%"
"08/30/2023","99.110","99.110","99.110","99.110","-0.01%"
"08/29/2023","99.121","99.121","99.121","99.121","-0.02%"
"08/28/2023","99.140","99.140","99.140","99.140","0.08%"
"08/25/2023","99.063","99.063","99.063","99.063","-0.07%"
"08/24/2023","99.137","99.137","99.137","99.137","0.00%"
"08/23/2023","99.136","99.136","99.136","99.136","0.08%"
"08/22/2023","99.055","99.055","99.055","99.055","0.00%"
"08/21/2023","99.051","99.051","99.051","99.051","0.00%"
"08/18/2023","99.047","99.047","99.047","99.047","0.12%"
"08/17/2023","98.927","98.927","98.927","98.927","-0.18%"
"08/16/2023","99.101","99.101","99.101","99.101","0.00%"
"08/14/2023","99.101","99.101","99.101","99.101","-0.02%"
"08/11/2023","99.123","99.123","99.123","99.123","-0.15%"
"08/10/2023","99.267","99.267","99.267","99.267","0.04%"
"08/09/2023","99.227","99.227","99.227","99.227","-0.03%"
"08/08/2023","99.257","99.257","99.257","99.257","0.15%"
"08/07/2023","99.112","99.112","99.112","99.112","-0.04%"
"08/04/2023","99.151","99.151","99.151","99.151","0.02%"
"08/03/2023","99.128","99.128","99.128","99.128","-0.18%"
"08/02/2023","99.307","99.307","99.307","99.307","0.01%"
"08/01/2023","99.300","99.300","99.300","99.300","0.11%"
"07/31/2023","99.195","99.195","99.195","99.195","-0.03%"
"07/28/2023","99.227","99.227","99.227","99.227","-0.12%"
"07/27/2023","99.345","99.345","99.345","99.345","-0.11%"
"07/26/2023","99.459","99.459","99.459","99.459","0.05%"
"07/25/2023","99.413","99.413","99.413","99.413","-0.12%"
"07/24/2023","99.531","99.531","99.531","99.531","0.05%"
"07/21/2023","99.479","99.479","99.479","99.479","0.01%"
"07/20/2023","99.466","99.466","99.466","99.466","-0.05%"
"07/19/2023","99.511","99.511","99.511","99.511","-0.08%"
"07/18/2023","99.588","99.588","99.588","99.588","0.11%"
"07/17/2023","99.475","99.475","99.475","99.475","-1.35%"
"07/14/2023","100.841","100.841","100.841","100.841","-0.04%"
"07/13/2023","100.880","100.880","100.880","100.880","0.21%"
"07/12/2023","100.673","100.673","100.673","100.673","-0.12%"
"07/11/2023","100.790","100.790","100.790","100.790","0.16%"
"07/10/2023","100.627","100.627","100.627","100.627","0.04%"
"07/07/2023","100.587","100.587","100.587","100.587","1.11%"
"07/06/2023","99.487","99.487","99.487","99.487","-0.15%"
"07/05/2023","99.639","99.639","99.639","99.639","0.29%"
"07/04/2023","99.347","99.347","99.347","99.347","-0.03%"
"07/03/2023","99.378","99.378","99.378","99.378","-0.04%"
"06/30/2023","99.419","99.419","99.419","99.419","-0.21%"
"06/28/2023","99.627","99.627","99.627","99.627","-0.01%"
"06/27/2023","99.641","99.641","99.641","99.641","0.02%"
"06/26/2023","99.619","99.619","99.619","99.619","0.04%"
"06/23/2023","99.575","99.575","99.575","99.575","-0.01%"
"06/22/2023","99.581","99.581","99.581","99.581","-0.10%"
"06/21/2023","99.681","99.681","99.681","99.681","-0.03%"
"06/20/2023","99.707","99.707","99.707","99.707","0.01%"
"06/19/2023","99.698","99.698","99.698","99.698","-0.07%"
"06/16/2023","99.768","99.768","99.768","99.768","0.06%"
"06/15/2023","99.710","99.710","99.710","99.710","-0.09%"
"06/14/2023","99.802","99.802","99.802","99.802","-0.07%"
"06/13/2023","99.868","99.868","99.868","99.868","0.04%"
"06/12/2023","99.825","99.825","99.825","99.825","0.09%"
"06/09/2023","99.732","99.732","99.732","99.732","0.01%"
"06/08/2023","99.723","99.723","99.723","99.723","-0.20%"
"06/07/2023","99.927","99.927","99.927","99.927","-0.06%"
"06/06/2023","99.983","99.983","99.983","99.983","0.05%"
"06/05/2023","99.930","99.930","99.930","99.930","-0.11%"
"06/02/2023","100.039","100.039","100.039","100.039","0.04%"
"06/01/2023","99.997","99.997","99.997","99.997","0.05%"
"05/31/2023","99.950","99.950","99.950","99.950","0.11%"
"05/30/2023","99.840","99.840","99.840","99.840","0.05%"
"05/29/2023","99.795","99.795","99.795","99.795","-0.09%"
"05/26/2023","99.885","99.885","99.885","99.885","0.02%"
"05/25/2023","99.868","99.868","99.868","99.868","-0.07%"
"05/24/2023","99.940","99.940","99.940","99.940","0.03%"
"05/23/2023","99.912","99.912","99.912","99.912","-0.18%"
"05/22/2023","100.092","100.092","100.092","100.092","0.25%"
"05/19/2023","99.845","99.845","99.845","99.845","-0.09%"
"05/18/2023","99.938","99.938","99.938","99.938","0.37%"
"05/17/2023","99.568","99.568","99.568","99.568","0.09%"
"05/16/2023","99.477","99.477","99.477","99.477","0.13%"
"05/15/2023","99.343","99.343","99.343","99.343","-0.02%"
"05/12/2023","99.360","99.360","99.360","99.360","0.08%"
"05/11/2023","99.280","99.280","99.280","99.280","0.04%"
"05/10/2023","99.244","99.244","99.244","99.244","0.00%"
"05/09/2023","99.246","99.246","99.246","99.246","0.00%"
"05/08/2023","99.247","99.247","99.247","99.247","-0.10%"
"05/05/2023","99.346","99.346","99.346","99.346","-0.03%"
"05/04/2023","99.375","99.375","99.375","99.375","-0.04%"
"05/03/2023","99.416","99.416","99.416","99.416","0.22%"
"05/02/2023","99.200","99.200","99.200","99.200","0.02%"
"04/28/2023","99.177","99.177","99.177","99.177","-0.06%"
"04/27/2023","99.235","99.235","99.235","99.235","0.03%"
"04/26/2023","99.207","99.207","99.207","99.207","-0.01%"
"04/25/2023","99.214","99.214","99.214","99.214","0.01%"
"04/24/2023","99.202","99.202","99.202","99.202","1.01%"
"04/21/2023","98.209","98.209","98.209","98.209","-0.01%"
"04/20/2023","98.221","98.221","98.221","98.221","0.04%"
"04/19/2023","98.186","98.186","98.186","98.186","-1.02%"
"04/18/2023","99.200","99.200","99.200","99.200","0.59%"
"04/17/2023","98.623","98.623","98.623","98.623","-0.08%"
"04/13/2023","98.699","98.699","98.699","98.699","-0.02%"
"04/12/2023","98.717","98.717","98.717","98.717","0.10%"
"04/11/2023","98.617","98.617","98.617","98.617","-0.96%"
"04/10/2023","99.572","99.572","99.572","99.572","0.60%"
"04/06/2023","98.980","98.980","98.980","98.980","0.51%"
"04/05/2023","98.480","98.480","98.480","98.480","0.08%"
"04/03/2023","98.405","98.405","98.405","98.405","-0.02%"
"03/31/2023","98.424","98.424","98.424","98.424","0.12%"
"03/29/2023","98.310","98.310","98.310","98.310","0.02%"
"03/28/2023","98.288","98.288","98.288","98.288","1.25%"
"03/27/2023","97.077","97.077","97.077","97.077","-0.37%"
"03/24/2023","97.438","97.438","97.438","97.438","0.10%"
"03/23/2023","97.345","97.345","97.345","97.345","0.09%"
"03/22/2023","97.258","97.258","97.258","97.258","-0.03%"
"03/21/2023","97.289","97.289","97.289","97.289","-1.36%"
"03/20/2023","98.629","98.629","98.629","98.629","0.20%"
"03/17/2023","98.432","98.432","98.432","98.432","-0.08%"
"03/16/2023","98.507","98.507","98.507","98.507","0.16%"
"03/15/2023","98.348","98.348","98.348","98.348","-0.07%"
"03/14/2023","98.420","98.420","98.420","98.420","-0.06%"
"03/13/2023","98.478","98.478","98.478","98.478","0.30%"
"03/10/2023","98.184","98.184","98.184","98.184","0.16%"
"03/09/2023","98.029","98.029","98.029","98.029","-0.09%"
"03/08/2023","98.117","98.117","98.117","98.117","-0.29%"
"03/06/2023","98.402","98.402","98.402","98.402","0.39%"
"03/03/2023","98.015","98.015","98.015","98.015","-0.04%"
"03/02/2023","98.052","98.052","98.052","98.052","0.00%"
"03/01/2023","98.052","98.052","98.052","98.052","-0.01%"
"02/28/2023","98.065","98.065","98.065","98.065","-0.02%"
"02/27/2023","98.085","98.085","98.085","98.085","-0.08%"
"02/24/2023","98.163","98.163","98.163","98.163","-0.08%"
"02/23/2023","98.242","98.242","98.242","98.242","-0.02%"
"02/22/2023","98.257","98.257","98.257","98.257","-0.07%"
"02/21/2023","98.322","98.322","98.322","98.322","-0.30%"
"02/20/2023","98.621","98.621","98.621","98.621","0.06%"
"02/17/2023","98.560","98.560","98.560","98.560","-0.24%"
"02/16/2023","98.794","98.794","98.794","98.794","0.14%"
"02/15/2023","98.652","98.652","98.652","98.652","0.03%"
"02/14/2023","98.621","98.621","98.621","98.621","-0.06%"
"02/13/2023","98.685","98.685","98.685","98.685","-0.11%"
"02/10/2023","98.794","98.794","98.794","98.794","-0.10%"
"02/09/2023","98.890","98.890","98.890","98.890","0.15%"
"02/08/2023","98.741","98.741","98.741","98.741","-0.28%"
"02/07/2023","99.015","99.015","99.015","99.015","-0.04%"
"02/06/2023","99.059","99.059","99.059","99.059","-0.17%"
"02/03/2023","99.223","99.223","99.223","99.223","0.06%"
"02/02/2023","99.162","99.162","99.162","99.162","0.75%"
"02/01/2023","98.423","98.423","98.423","98.423","0.26%"
"01/31/2023","98.168","98.168","98.168","98.168","0.10%"
"01/30/2023","98.074","98.074","98.074","98.074","-0.27%"
"01/27/2023","98.339","98.339","98.339","98.339","-0.03%"
"01/25/2023","98.366","98.366","98.366","98.366","-0.26%"
"01/24/2023","98.626","98.626","98.626","98.626","-0.19%"
"01/23/2023","98.815","98.815","98.815","98.815","-0.11%"
"01/20/2023","98.927","98.927","98.927","98.927","-0.01%"
"01/19/2023","98.937","98.937","98.937","98.937","0.19%"
"01/18/2023","98.751","98.751","98.751","98.751","-0.09%"
"01/17/2023","98.839","98.839","98.839","98.839","0.10%"
"01/16/2023","98.736","98.736","98.736","98.736","-0.14%"
"01/13/2023","98.878","98.878","98.878","98.878","0.08%"
"01/12/2023","98.800","98.800","98.800","98.800","0.18%"
"01/11/2023","98.619","98.619","98.619","98.619","0.16%"
"01/10/2023","98.466","98.466","98.466","98.466","0.08%"
"01/09/2023","98.383","98.383","98.383","98.383","0.00%"
"01/06/2023","98.379","98.379","98.379","98.379","-0.04%"
"01/05/2023","98.417","98.417","98.417","98.417","-0.21%"
"01/04/2023","98.620","98.620","98.620","98.620","0.26%"
"01/03/2023","98.366","98.366","98.366","98.366","-0.58%"
"01/02/2023","98.939","98.939","98.939","98.939","-0.25%"
"12/30/2022","99.185","99.185","99.185","99.185","0.00%"
"12/29/2022","99.186","99.186","99.186","99.186","0.03%"
"12/28/2022","99.158","99.158","99.158","99.158","-0.40%"
"12/27/2022","99.554","99.554","99.554","99.554","0.06%"
"12/26/2022","99.497","99.497","99.497","99.497","-0.17%"
"12/23/2022","99.669","99.669","99.669","99.669","-0.05%"
"12/22/2022","99.714","99.714","99.714","99.714","0.37%"
"12/21/2022","99.346","99.346","99.346","99.346","0.04%"
